object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
10831,Bronze Needle,,,,1938.3123,1938'3126~01,"Dura-Europos archival photograph, YUAG negative number 1938'3126~01 -object-id-10831.jpg"
10834,bronze arrow head,,,,1938.2537,1938'2538~01,"Dura-Europos archival photograph, YUAG negative number 1938'2538~01 -object-id-10834.jpg"
10835,Bronze Tube,,,,1938.3277,1938'3281~01,"Dura-Europos archival photograph, YUAG negative number 1938'3281~01 -object-id-10835.jpg"
10836,Bronze Cover,,,,1938.338,1938'3400~01,"Dura-Europos archival photograph, YUAG negative number 1938'3400~01 -object-id-10836.jpg"
10837,Bronze Spoon,,,,1938.2779,1938'2782~01,"Dura-Europos archival photograph, YUAG negative number 1938'2782~01 -object-id-10837.jpg"
10838,Pierced Bronze,,,,"2) 1938.2163, 3) 1933.642",yale746,"Dura-Europos archival photograph, YUAG negative number yale746 -object-id-10838.jpg"
10839,Bronze Cover,,,,1938.3535,1938'3537~01,"Dura-Europos archival photograph, YUAG negative number 1938'3537~01 -object-id-10839.jpg"
10840,Bronze Tweezers,,,,1938.2712,1938'3001~01,"Dura-Europos archival photograph, YUAG negative number 1938'3001~01 -object-id-10840.jpg"
10841,Bronze Tack,,,,1938.3539,1938'3587~01,"Dura-Europos archival photograph, YUAG negative number 1938'3587~01 -object-id-10841.jpg"
10842,Bronze Fibula,,,,1938.2017,1938'2027~01,"Dura-Europos archival photograph, YUAG negative number 1938'2027~01 -object-id-10842.jpg"
10845,Bronze Plate,,,,1938.3196,1938'3214~01,"Dura-Europos archival photograph, YUAG negative number 1938'3214~01 -object-id-10845.jpg"
10846,Bronze Cover,,,,1938.3403,1938'3404~01,"Dura-Europos archival photograph, YUAG negative number 1938'3404~01 -object-id-10846.jpg"
10847,Bronze Miscellaneous,,,,1938.3194,yale923,"Dura-Europos archival photograph, YUAG negative number yale923 -object-id-10847.jpg"
10848,Bronze Lamp,,,,1938.3696,1938'3743~01,"Dura-Europos archival photograph, YUAG negative number 1938'3743~01 -object-id-10848.jpg"
10849,bronze gazelle,,,,1938.348,1938'3483~01,"Dura-Europos archival photograph, YUAG negative number 1938'3483~01 -object-id-10849.jpg"
10850,Bronze Tack,,,,1938.3605,1938'3608~01,"Dura-Europos archival photograph, YUAG negative number 1938'3608~01 -object-id-10850.jpg"
10853,Bronze Tube,,,,1938.334,1938'3364~01,"Dura-Europos archival photograph, YUAG negative number 1938'3364~01 -object-id-10853.jpg"
10854,Bronze Objects,,,,,yale954,"Dura-Europos archival photograph, YUAG negative number yale954 -object-id-10854.jpg"
10856,Bronze Scales,,,,1938.409,1938'4094~01,"Dura-Europos archival photograph, YUAG negative number 1938'4094~01 -object-id-10856.jpg"
10858,Bronze Bell,,,,1938.4516 (see note below),1938'1037~01,"Dura-Europos archival photograph, YUAG negative number 1938'1037~01 -object-id-10858.jpg"
10859,Bronze Discs,,,,,yale959,"Dura-Europos archival photograph, YUAG negative number yale959 -object-id-10859.jpg"
10860,Bronze Stud,,,,1938.3427,1938'3428~01,"Dura-Europos archival photograph, YUAG negative number 1938'3428~01 -object-id-10860.jpg"
10861,Bronze Bolt,,,,1938.3237,1938'3238~01,"Dura-Europos archival photograph, YUAG negative number 1938'3238~01 -object-id-10861.jpg"
10862,Bronze Cramp,,,,1938.3288,1938'3289~01,"Dura-Europos archival photograph, YUAG negative number 1938'3289~01 -object-id-10862.jpg"
10863,Bronze Chain,,,,1938.3704a,1938'3704b~01,"Dura-Europos archival photograph, YUAG negative number 1938'3704b~01 -object-id-10863.jpg"
10864,Bronze Bit,,,,1938.2473,1938'2474~01,"Dura-Europos archival photograph, YUAG negative number 1938'2474~01 -object-id-10864.jpg"
10865,Bronze Stud,,,,1938.326,1938'3295~01,"Dura-Europos archival photograph, YUAG negative number 1938'3295~01 -object-id-10865.jpg"
10866,Bronze Leg,,,,1938.2566,1938'2569~01,"Dura-Europos archival photograph, YUAG negative number 1938'2569~01 -object-id-10866.jpg"
10867,Pierced Bronze,,,,2) 1938.2118,yale751,"Dura-Europos archival photograph, YUAG negative number yale751 -object-id-10867.jpg"
10868,Bronze Needle,,,,1938.3096,1938'3127~01,"Dura-Europos archival photograph, YUAG negative number 1938'3127~01 -object-id-10868.jpg"
10869,Bronze Fibula,,,,1938.1987,1938'2007~01,"Dura-Europos archival photograph, YUAG negative number 1938'2007~01 -object-id-10869.jpg"
10870,Bronze Fibula,,,,1938.586,1938'1430~01,"Dura-Europos archival photograph, YUAG negative number 1938'1430~01 -object-id-10870.jpg"
10871,Bronze Needle,,,,1938.297,1938'3120~01,"Dura-Europos archival photograph, YUAG negative number 1938'3120~01 -object-id-10871.jpg"
10872,Bronze Chain,,,,,1938'3706~01,"Dura-Europos archival photograph, YUAG negative number 1938'3706~01 -object-id-10872.jpg"
10873,Bronze Spatula,,,,1938.2552,1938'2698~01,"Dura-Europos archival photograph, YUAG negative number 1938'2698~01 -object-id-10873.jpg"
