object_id,name,link,image_link,location_label,location_name,type,accession,negative_number,image_source,image_type
13601,"Main Gate (Palmyrene Gate), SW Tower, window in w. face",https://library.artstor.org/#/asset/SS7730479_7730479_10870932,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895325.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b43~01,Dura field photo,film negative
13600,"Main Gate (Palmyrene Gate), NE Tower, crosswall of mudbrick",https://library.artstor.org/#/asset/SS7730479_7730479_10835344,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895326.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b44~01,Dura field photo,glass negative
13599,"Main Gate (Palmyrene Gate), SE Tower, upper level door s. to wall",https://library.artstor.org/#/asset/SS7730479_7730479_10870938,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895327.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b45~01,Dura field photo,glass negative
13597,"Main Gate (Palmyrene Gate), SE Tower, building outside gate",https://library.artstor.org/#/asset/SS7730479_7730479_10870952,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895329.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b47~01,Dura field photo,glass negative
13586,"Rampart from top of Main Gate (Palmyrene Gate), looking north",https://library.artstor.org/#/asset/SS7730479_7730479_10835357,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895340.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b6~01,Dura field photo,replacement negative
14419,Hollow bricks for walls from Bath,https://library.artstor.org/#/asset/SS7730479_7730479_10835941,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894564.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Bath near Main Gate (Palmyrene Gate),brick,,dura-c107~01,Dura field photo,glass negative
4625,Excavations by Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10847621,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3916182.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-c110~01,Dura field photo,glass negative
14250,"Main Gate (Palmyrene Gate), work on Main Street",https://library.artstor.org/#/asset/SS7730479_7730479_10872328,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894701.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-c86~01,Dura field photo,glass negative
14245,"Bath near Main Gate (Palmyrene Gate), room f looking toward pool",https://library.artstor.org/#/asset/SS7730479_7730479_10835947,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894706.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Bath near Main Gate (Palmyrene Gate),field,,dura-c91~01,Dura field photo,glass negative
4616,"Bath near Main Gate (Palmyrene Gate), general view from SE tower gate",https://library.artstor.org/#/asset/SS7730479_7730479_10847653,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3916191.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Bath near Main Gate (Palmyrene Gate),field,,dura-c92~01,Dura field photo,glass negative
14244,"Bath near Main Gate (Palmyrene Gate), entrance to heating flue on S side",https://library.artstor.org/#/asset/SS7730479_7730479_10835952,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894707.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Bath near Main Gate (Palmyrene Gate),field,,dura-c93~01,Dura field photo,glass negative
14631,Altar inside Main Gate (Palmyrene Gate) before uncovering S side,https://library.artstor.org/#/asset/SS7730479_7730479_10834446,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894362.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-d100~01,Dura field photo,glass negative
14630,Altar inside Main Gate (Palmyrene Gate) after uncovering S side,https://library.artstor.org/#/asset/SS7730479_7730479_10834453,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894363.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-d101~01,Dura field photo,glass negative
14629,"Altar inside Main Gate (Palmyrene Gate), S side after uncovering",https://library.artstor.org/#/asset/SS7730479_7730479_10834458,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894364.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-d102~01,Dura field photo,glass negative
14594,Inscription (#176) from building outside Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10835122,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894398.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),inscription,,dura-d170~01,Dura field photo,glass negative
14593,Inscription (#170) on altar inside Main Gate (Palmyrene Gate),https://library.artstor.org/#/asset/SS7730479_7730479_10835124,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894399.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-d172~01,Dura field photo,glass negative
14513,Statuette of woman with boy (lower 1/2 only),https://library.artstor.org/#/asset/SS7730479_7730479_10834622,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894477.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),statue,,dura-d303~01,Dura field photo,glass negative
14512,Statuette of woman with boy (lower 1/2 only),https://library.artstor.org/#/asset/SS7730479_7730479_10834624,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894478.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-d304~01,Dura field photo,glass negative
14471,Mosaic with inscription (#180),https://library.artstor.org/#/asset/SS7730479_7730479_10835593,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894512.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Bath near Main Gate (Palmyrene Gate),inscription,,dura-d374~01,Dura field photo,glass negative
14434,Main Gate (Palmyrene Gate) from west with remains of mudbrick wall which narrowed passage,https://library.artstor.org/#/asset/SS7730479_7730479_10835908,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894549.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-d89~01,Dura field photo,glass negative
14432,Main Gate (Palmyrene Gate) from desert side,https://library.artstor.org/#/asset/SS7730479_7730479_10835912,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894551.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-d90~01,Dura field photo,film negative
14431,Main Gate (Palmyrene Gate) and street with Roman bath at left,https://library.artstor.org/#/asset/SS7730479_7730479_10835914,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3894552.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-d91~01,Dura field photo,glass negative
